person_id,movie_id
844752,15724
869732,15724
194720,15724
650495,15724
8738,31458
19177,31458
22283,31458
50769,31458
212,35423
413168,35423
630,35423
5227,35423
517642,36606
561155,36606
168856,36606
914908,36606
7023,39442
544330,39442
19330,39442
370455,39442
431499,54724
382038,54724
185341,54724
822948,54724
20281,56166
448743,56166
27907,57461
735911,57461
897721,57461
578572,57461
265655,58950
787906,58950
44108,58950
917553,58950
465062,58994
398969,58994
151155,58994
583963,58994
516316,58994
906404,58994
155551,58994
2713907,58994
496968,58994
2617111,59680
599787,59680
1335,59680
598448,59680
443288,59680
642598,59680
639396,59680
1052658,59900
937760,59900
472545,59900
334635,59900
126960,60144
665155,60144
350855,60144
246728,60144
566947,60462
43997,60462
576389,60462
440487,60462
2024,60477
1329700,60477
848910,60477
262851,60477
57342,60526
409869,60526
562210,60526
564223,60526
525763,60551
449431,60551
126569,60551
91038,60551
763803,60939
590695,60939
273508,60939
136579,60939
117145,60951
52430,60951
832150,60951
948735,60951
282871,60967
31958,60967
157242,60967
179516,60967
457557,61069
949045,61069
1992167,61069
452817,61069
246942,61151
670855,61151
458738,61151
501789,61151
911093,61478
1800059,61478
284608,61478
1357632,61478
1922,61494
472,61494
511798,61494
599478,61494
888399,61592
498181,61592
694580,61592
185883,61592
4919730,62104
2463308,62104
667039,62104
623587,62104
333102,62104
114519,62104
222368,62104
59260,62104
143816,62105
470125,62105
517895,62105
702818,62105
804592,62181
843848,62181
518591,62181
361540,62181
957612,62359
253436,62359
809544,62359
813224,62359
596261,62690
1171546,62690
1171609,62690
116892,62690
879729,62696
875465,62696
423663,62696
594702,62696
556319,62696
24195,62696
457551,62696
297670,62696
457497,62696
867156,62701
883238,62701
147167,62701
686230,62701
156301,62730
597379,62730
161388,62730
359552,62730
2595624,62730
521944,62730
1142,62730
260884,62784
551288,62784
652798,62784
34773,62784
521943,62847
678469,62847
936259,62847
377468,62847
22283,62896
182944,62896
209432,62896
379678,62896
398969,62936
1866,62936
1787710,62936
160715,62936
820577,62980
507116,62980
281078,62980
715857,62980
560138,62980
249286,62980
3104254,62980
1142087,62980
508362,63018
359171,63018
438071,63018
509743,63018
8384,63066
24195,63066
33136,63066
5833834,63066
894024,63070
185954,63070
33007,63070
319834,63070
432334,63074
631307,63074
532719,63074
529861,63074
472,63132
350051,63132
511697,63132
600005,63132
926183,63137
813961,63137
432007,63137
644707,63137
472,63142
215612,63142
247513,63142
78413,63142
361616,63244
402921,63244
545142,63244
259128,63244
812937,63309
554959,63309
350632,63309
347242,63309
25381,63334
91046,63334
301534,63334
789558,63334
8161,63337
1131874,63337
957668,63337
252583,63337
812210,63353
297670,63353
837420,63353
8697058,63353
51502,63353
729153,63498
686282,63498
234369,63498
729095,63498
791571,63499
471139,63499
4462,63499
2450917,63550
491989,63550
491990,63550
394244,63552
307260,63552
814216,63552
934978,63552
457492,63604
423663,63604
406594,63604
297670,63604
463514,63604
730105,63608
49392,63608
954600,63608
448743,63608
120007,63666
838484,63666
879556,63666
610628,63666
313387,63696
1335,63696
415591,63696
4819,63696
42106,63751
698541,63751
782220,63751
519420,63751
703699,63846
519427,63846
383779,63846
537217,63846
536781,63860
675413,63860
679920,63860
381028,63860
580038,63982
299929,63982
182841,63982
709654,63982
1377,64004
68552,64004
138637,64004
822062,64004
892260,64007
484376,64007
755364,64007
182944,64007
480942,64021
333014,64021
547339,64021
577840,64021
289960,64031
409049,64031
271763,64031
320942,64031
252843,64038
406563,64038
252583,64038
14148,64038
715381,64065
554607,64065
761100,64065
625033,64065
577867,64078
396136,64078
543188,64078
197592,64078
905226,64083
903212,64083
255678,64083
197983,64083
7023,64105
812906,64105
143030,64105
825952,64105
804,64106
946179,64106
664207,64106
273812,64106
907679,64111
328945,64111
791859,64111
371848,64111
2441554,64121
78155,64121
479628,64121
2442438,64121
6092,64126
945,64126
629417,64126
275213,64126
484376,64140
350632,64140
157242,64140
136058,64140
495720,64143
447652,64143
686282,64143
308523,64143
127745,64144
290614,64144
207834,64144
415164,64144
939961,64150
409869,64150
408480,64150
131209,64150
681566,64165
2769,64165
489311,64165
99366,64165
213485,64170
290839,64170
898789,64170
757204,64170
944027,64171
163570,64171
335413,64171
